Year,Armagh,sheffield,rochespoint,phoenixpark,Markree
2013,0.9,6.6,3.6,1.1,0.2
2013,2.1,6.3,5.5,4.1,2.5
2013,2.1,5.2,5.3,0.1,-1
2013,-1.3,-3.2,1.9,-0.3,-1.8
2013,2,-0.6,2.4,1.5,2.5
2013,0,-3.3,1.9,-0.2,-0.1
2013,-0.8,-1,0.7,1.4,2.8
2013,-1.4,-1.6,2.1,0.3,0.3
2013,-0.2,-3,1.1,0.6,1.1
2013,-2,-2.6,3.3,1.2,-0.1
2013,-3.6,-3.4,1.1,0.7,0.7
2013,3.4,-0.3,2.3,2,5
2013,0.5,-0.8,1.5,-1,3
2013,1.9,-0.2,5,-0.9,2.6
2013,2.7,0,2.7,-1.2,1.8
2013,2.6,1,0.8,-0.6,2.7
2013,-0.3,-0.4,1,-0.9,2.7
2013,-2.2,-1.5,2.5,0.2,1.2
2013,-1.7,-1.9,2.9,-1.3,0
2013,5,3.5,3.4,0.6,4.2
2013,5.4,5,1.7,-0.8,6.7
2013,-2.5,-0.3,-2,1.4,2.9
2013,5.3,0.4,-0.1,0.5,1.3
2013,2,1,0.2,-1.2,2.9
2013,2.7,1.5,0.6,-1,2.2
2013,0.6,-0.8,2.2,0.2,2.8
2013,2.7,-2.6,3.3,0.2,2.3
2013,-2.2,-4.5,0.2,0.8,3.6
2013,-0.7,-5.1,6,-0.8,1.9
2013,-0.4,-2.3,7.1,-1.4,6.1
2013,-0.6,3.7,4.2,1.1,2.6
2013,1.6,1.9,6.9,-1,1.2
2013,4.2,11.7,5.6,-1.6,5.5
2013,2.4,8.3,8.3,-2.5,7.6
2013,-1.2,-0.6,6.4,-2.4,-0.5
2013,8,0.5,8.4,0.3,2.1
2013,4.1,3,4.2,0.5,9.8
2013,5.8,0.4,6.1,-0.8,9.1
2013,0.2,-5.8,1.6,-1.4,2.6
2013,-1.3,-3.8,3.5,-1.5,1
2013,-0.4,-1.1,5.2,-2.1,2.5
2013,-1.2,-0.3,6,-1.4,3.5
2013,3.6,8.5,4.2,1.8,1
2013,7.4,10.6,5.1,-1.2,0.3
2013,-1.7,-3.9,3.2,-1.4,2.3
2013,-1.9,-3.2,1.6,-1.1,-2.9
2013,-1.4,-3.4,0.8,-0.1,-0.2
2013,-1.4,-3.9,1.8,-0.9,0.8
2013,-0.9,-2.2,3.2,-0.6,1.8
