Year,Bs,T,B,CT,LB,MG,DG
1964,1.5,2.7,2.8,2.5,,,2.5
1964,0,1,0.4,0.6,,,1.2
1964,-1.6,0.2,1.4,0,,,1.3
1964,-1.3,0.2,0.7,-0.4,,,0.7
1964,-1.4,-0.8,-0.6,-0.9,,,0.4
1964,-1,-0.8,1.3,-3.1,,,-1.4
1964,-1.8,0.1,1.5,-0.7,,,1.2
1964,-0.6,0,0.1,0.2,,,0.6
1964,-1.1,0.7,0.8,0.4,,,1
1964,-0.7,-0.5,0.6,0.5,,,1.1
1964,0.6,0.6,1.6,1.3,,,2.3
1964,-0.6,1,0.6,0.4,,,0.5
1964,-1.2,2.1,1.7,0.2,,,1.8
1964,1.2,2.7,2.8,2,,,2.9
1964,1.3,2.3,3.5,2.4,,,3.3
1964,-1.6,1.7,1.6,0.2,,,1
1964,0,0.7,0.1,0.3,,,0.1
1964,0.1,0.8,0.8,0.5,,,1.5
1964,-2.1,0.6,0.7,-0.1,,,-0.1
1964,-1.1,0.4,0.9,-0.9,,,0.4
1964,-0.7,0.4,1.2,2.1,,,-0.2
1964,-1.3,1.6,1,0.2,,,1.4
1964,0,-0.2,0.8,-0.9,,,-0.3
1964,-1.7,-0.2,-0.9,-2.2,,,-0.2
1964,-1,-0.4,0.2,-2.4,,,0.1
1964,-0.7,-0.3,0,-1.9,,,-0.3
1964,-1.6,-0.2,0.4,-1.3,,,0.3
1964,-1.1,-0.6,-0.1,0,,,0.2
1964,-0.8,-0.4,0.7,-0.3,,,1.6
1964,1.8,2.2,1.6,1.5,,,1.7
1964,-1.9,0.3,2.2,-1.6,,,-1.6
1964,-2.3,0,-0.4,-0.9,,,1.2
1964,-1.6,-0.9,0,-0.3,,,0.7
1964,-1.4,-1.2,0.7,-1,,,0.6
1964,-1,1.1,1.2,-1.2,,,0.8
1964,-1.6,0.6,1.8,-0.1,,,1.4
1964,-1.5,-1.8,0.1,-1.7,,,-0.5
1964,-1.9,1.3,0.7,-1.8,,,-0.4
1964,2.7,2.7,3.1,2.2,,,3.3
1964,-1.8,-2.2,0.2,-1.1,,,-0.6
1964,-2,-0.1,0.4,-1,,,-0.7
1964,-1.8,0.1,0.3,-0.2,,,0.8
1964,-0.7,-0.9,0.6,0.1,,,0.3
1964,-1.5,1.7,1.3,0.9,,,1.5
1964,0.2,-0.7,0.1,0.1,,,0.4
1964,1.3,1.7,1.2,0.9,,,-0.3
1964,-0.9,-0.9,0.5,0.8,,,0.7
1964,0.2,0.3,1,-1.9,,,1.4
1964,0.9,1.6,2.2,1,,,2
1964,-0.4,1.3,1.1,0.7,,,2.4
1964,-1.2,1.1,1.1,0,,,-0.6
1964,-2.2,1.9,-0.2,-1.1,,,-0.8
1964,-1.9,-0.5,-0.6,-0.4,,,0.8
1964,-2.1,-3.1,-1.5,-0.7,,,1.2
1964,-1.8,-0.9,0,-0.8,,,0.6
1964,1.4,-0.3,1,1.1,,,0.4
1964,0,1.4,0.5,-1,,,-0.6
1964,0.5,0.3,0.2,0.6,,,0.6
1964,-1.1,0.9,1,-0.2,,,0.4
1964,-1.5,2.3,2.5,0.2,,,2.1
1964,-2.8,-1.1,-1.4,-1.7,,,-0.3
1964,0,0.5,1.4,0.4,,,1.4
1964,-0.1,1.5,1.6,-0.2,,,1.3
1964,0.6,1.3,0.5,0.2,,,0.5
1964,-1.8,-1.8,-0.2,-2.4,,,-0.3
1964,0.4,0.8,-0.1,-1.8,,,-1.1
1964,1,1.8,0.8,1.3,,,0.5
1964,-0.7,-0.4,0.2,-4,,,-0.4
1964,0,-0.1,1.5,-0.2,,,1.6
1964,0.7,3.6,4.1,2.7,,,4.1
1964,-1,-0.5,0,-0.5,,,0.7
1964,-0.2,0.3,0.4,-0.1,,,-0.1
1965,,,,,,,
1965,,,,,,,
1965,-1.5,0.7,1.1,-2.1,1.2,,0.2
1965,1,0.9,0.9,-0.5,0.1,,0.9
1965,-1.6,0.5,1.5,-2.2,1.6,,-0.1
1965,-0.3,-0.2,0.4,-0.8,0.5,,0.6
1965,-1.6,1.4,1.1,-1,0.8,,-0.5
1965,-1.3,1.3,1.4,0.2,1.4,,1.1
1965,-0.6,1.2,1,0.1,0.1,,0.3
1965,-0.5,1.3,1.2,-2.3,0,,-0.3
1965,2.3,1.5,1.1,3.3,2.8,,2.9
1965,0,0.2,0.2,-1,2.3,,0.4
1965,-0.9,0.4,0.6,0,1.5,,1.2
1965,-0.8,0.7,0.9,-2.2,1.8,,0.4
1965,-0.4,0.6,0.4,-0.9,0.1,,-0.6
1965,-0.1,1.6,2.2,-0.6,2.2,,2
1965,0.2,0.7,1.1,-1.3,1.2,,0.2
1965,-0.1,0.3,1.8,-1.8,0.8,,1.2
1965,-0.1,-0.1,0.4,-1.2,0.5,,0.4
1965,-0.2,1,1,0,1.8,,1
1965,-1.6,0.2,0.2,-0.2,0.7,,0.3
1965,-1.4,0.4,0.8,-1.3,0.7,,0.5
1965,-0.9,0.2,0,-0.8,-0.3,,-0.9
1965,-0.8,0.1,0.9,-0.8,0.6,,0.6
1965,-0.9,1.1,1,0,0.8,,0.6
1965,0,2.2,1.7,1.2,4.3,,1.9
1965,0.8,3.2,2.4,1.2,1.7,,2.3
1965,-2.8,-0.1,0.4,-1,0.1,,-0.1
1965,-2,0.2,0.6,-0.1,0.5,,0.7
1965,-1,2.1,2.2,1,1.8,,2.2
1965,-0.5,1.8,2.1,0.9,1.9,,1.5
1965,-0.2,1.1,0.9,0.2,-0.5,,-0.5
1965,-1.6,0.4,0.5,-0.3,0.2,,0.6
1965,-0.9,1.5,2.8,1.3,1.8,,2.3
1965,-2.2,2.2,1.4,-2.2,2.1,,1.5
1965,-1.1,1.5,2,-2.4,-0.1,,-0.1
1965,-0.6,1.1,1.1,0.6,2,,2.1
1965,-1.6,0.6,1.7,-0.2,0.9,,0.8
1965,-1.4,1.4,1.2,0,2,,-0.1
1965,-1.6,-0.5,0.6,-0.3,0.3,,0.7
1965,-1.7,-0.2,0,-0.9,0.3,,-0.1
1965,-0.1,-2.1,-1.6,-0.1,0.5,,1
1965,-3.7,-2.1,-1.6,-1.4,1,,1.7
1965,-1.1,-3.9,-0.2,-0.4,1.5,,0.1
1965,-1.5,-0.8,-0.4,0.6,-0.8,,1.5
1965,0.3,4.2,1,0.6,0.3,,1.3
1965,0.7,-0.4,0.1,-0.3,0.1,,1.1
1965,2.6,-0.4,0.1,2.4,1.5,,2.4
1965,0.6,-1.7,-0.1,-0.1,-0.6,,0.3
1965,-0.8,0.4,-0.6,0.3,1.2,,0.4
1965,1.3,0.9,0.9,1.7,0.8,,1.3
1965,0.9,-0.1,1.1,0.7,0.3,,1.5
1965,2.3,3,2.1,0.4,1.6,,1.5
1965,-0.2,-0.4,1.6,0,0.2,,-0.7
1965,-0.4,1.4,1.4,0,1.8,,1.7
1965,-0.3,0.9,1.4,0.3,0.6,,1
1965,0.4,0.1,0.3,-0.1,1,,0.5
1965,-0.5,0,0.3,0.2,0.4,,-0.8
1965,-1.5,0.9,1.3,0,1.4,,1.4
1965,-1.7,0.6,0.8,-0.4,1,,0.4
1965,-0.5,1.1,1.6,0.3,1.8,,1.5
1965,-0.7,0,1.4,-1,2.1,,1.5
1965,-1.8,-0.2,-0.1,-2.9,0.9,,0.4
1965,0.8,0.2,0.6,0.5,0.7,,0.7
1965,-1.2,0.7,0,-2.1,1,,-0.7
1965,-1.3,-0.5,0.8,-1.6,1.4,,0.4
1965,0.1,1,1.3,-0.6,1.7,,1.5
1965,-0.2,1.8,2,0.5,2.6,,2
1965,-0.8,0,0.9,0.1,1.8,,2
1965,-0.8,0,0.4,-1,-0.6,,-0.2
1965,0.2,1.1,0.4,0,0.4,,1
1965,-0.3,0.8,0.8,-1.4,-0.6,,-1.2
1965,-1.8,-0.6,-0.3,-1.6,-2.1,,-1.3
1965,-1,0.3,-0.7,-1.2,-0.4,,-1.2
1965,0.9,-0.4,1.1,-0.4,1.8,,0.4
1965,0.6,1.9,1.9,1.2,2.1,,1.7
1965,0.1,1.2,1.5,-0.4,2.2,,1.5
1965,0.2,1,0.7,-1.4,1.3,,0.3
1965,-1.4,-1,0.9,-1.9,0.2,,-0.7
1965,-0.8,0.1,0.5,-2.2,-0.1,,-0.4
1965,-0.6,0.5,1.2,-1.6,0.8,,-0.2
1965,-1,0.1,1.5,0.1,0.6,,1
1965,3.4,4,3.4,2.3,3.6,,2.9
1965,-2.4,-1,0.2,-0.8,0,,0.1
1965,-0.9,0.3,1,0.2,1.2,,0.7
1965,-1.1,1,0.7,-0.4,1.3,,0.9
1965,0.2,-0.6,0.4,0.5,1,,0.9
1965,0.6,0.6,-0.3,0.1,0.7,,0.8
1965,-1.8,-0.6,0.5,-1.7,0.5,,0.3
1965,-1.3,0.9,2,0.4,2.1,,2
1965,0.3,-1.4,0.2,-1.4,0.1,,0.3
1965,-0.3,1.6,1.9,1,2.2,,2
1966,-1.4,-0.5,0.5,0.3,2.1,,1.2
1966,-1.9,-0.4,0.9,0,1.6,,1.1
1966,-0.3,0,0.6,-1.5,1.9,,0.3
1966,7.9,9,8.7,8.5,8.1,,8.3
1966,-1.2,-0.2,-0.1,-0.8,0.7,,-0.2
1966,1.1,0,0.1,1,1.6,,1.7
1966,-0.1,-0.5,0.3,0.2,0.6,,0.6
1966,0.1,-4.9,1.1,,0.4,,-0.6
1966,0.5,0.3,0,0.8,-0.5,,0.4
1966,-1,1,1.4,-0.2,-0.2,,0.4
1966,0.9,1.8,1.2,2.3,-1.5,,1.4
1966,1.1,1.5,1.5,1.7,1.7,,1.7
1966,-0.6,-2,0,0.3,-1.3,,1.2
1966,-0.1,2,1.3,-0.1,0.1,,0.1
1966,-0.8,1.5,0.7,-1.5,-0.2,,-0.2
1966,-0.4,0.8,0.8,-1.3,-0.7,,-0.9
1966,0.4,1.9,0.2,-1.1,0.4,,-0.1
1966,0.1,0.7,0.8,-0.6,-0.2,,0.1
1966,1.8,1.9,2.6,0.8,2.2,,2.2
1966,0,1.6,0.6,-0.8,1.7,,0.8
1966,-0.3,-0.4,2.1,1.7,1,,1.3
1966,-0.4,-0.2,0.4,-0.7,0.3,,-0.1
1966,-1,0.8,1.3,-1.3,0.5,,0.6
1966,-0.7,0.8,1,0.8,0.8,,0.7
1966,-1.4,-0.1,0.8,-2.1,0,,-0.1
1966,-0.6,-2.1,-0.2,-0.2,0.6,,-0.1
1966,0.1,1,1.4,1.1,1.7,,2
1966,-1.5,0.9,0.9,0.1,1.5,,1.1
1966,-2.1,0.2,0.9,-2.5,0.1,,0.7
1966,,0.7,1.4,0.4,1.2,,1.2
1966,-1.8,-0.6,0.5,-1.6,0.9,,0
1966,-1.3,-0.5,0.8,-0.6,0.8,,1.2
1966,-1,0.3,1.7,0.1,1.5,,0.6
1966,-0.3,-0.3,1.3,0.1,1.8,,1.6
1966,0.1,1.2,1.6,1.3,1.6,,1.6
1966,-0.7,2,1.7,-0.1,0.5,,1
1966,-0.3,-0.1,0.9,0.3,1,,1.2
1966,-2.1,-0.3,0.7,-1.3,0.6,,-0.3
1966,1.2,1.1,1.5,1.1,1.3,,2.3
1966,1.6,1.9,1.4,0.8,1.2,,1.5
1966,-0.7,-0.7,1.2,-1.2,1.6,,0.7
1966,-2.7,-1.3,0.4,-1.5,-0.3,,0.2
1966,-1.1,0,0.7,0,0.1,,-0.1
1966,-1.2,0.5,1.6,0.2,1.3,,0
1966,-0.1,0.4,1.8,1.2,2.4,,1.8
1966,-0.6,0.3,0.4,-0.1,0.4,,1
1966,-1.4,0.6,0.9,0.2,0,,0.4
1966,-1,0.3,0.7,-0.2,0.9,,0.6
1966,-1.8,0.8,0.3,0,0.9,,0.5
1966,-1.5,0.3,0.2,-0.3,0.6,,0.1
1966,-1.2,1.1,-0.3,0,-0.5,,0
1966,0.1,0,1.5,1.5,3.6,,2.8
1966,-0.2,1.7,0.6,-0.5,0.2,,0.2
1966,-0.6,0.7,2,0.1,-2.1,,0.8
1966,-2.1,0.5,0.6,-0.6,0.8,,0.5
1966,-1.2,1.5,3.2,0.1,1.9,,1.2
1966,-1.2,1.4,0.8,-1.2,1.2,,1
1966,-1.7,0.6,0.3,0,0.3,,-0.1
1966,-1.1,-0.1,1.9,0.1,0.6,,0.9
1966,-0.6,1.1,2.7,0.6,-0.1,,1
1966,3.6,3.1,3.8,3.7,3.4,,3.4
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1966,,,,,,,
1967,1.2,1.4,0.8,-0.8,0.3,,0
1967,1.1,0.7,0.4,0.7,0.5,,1.1
1967,-2.3,-1.2,0.3,-1.3,2.6,,
1967,-1.5,1.2,2.1,0.1,2.3,,1.2
1967,-1.9,-2.2,0.7,-1.3,1.6,,-5.7
1967,-3.3,-1.9,0.6,-3.6,4.4,,-2.8
1967,-0.1,1.9,1.8,0.8,2.5,,-4
1967,-0.6,2.7,2.4,1.6,2.1,,0.1
1967,-1.4,-1.3,1,-2.2,1.3,,0.5
1967,-0.4,0.8,2,1.4,2.8,,-1
1967,-1.1,0.2,0.4,-1.2,0.3,,0.9
1967,-0.5,0.4,-0.2,-1.2,0.8,,0.8
1967,-0.9,-0.6,1.3,-1.6,0.7,,0.2
1967,-1.5,0.3,1,-0.5,1.3,,1.1
1967,-1.2,0.5,0.1,0.4,2,,1.9
1967,-0.9,1.3,1,0.1,0.9,,0.9
1967,-1.4,1.1,1.3,0,1,,1.3
1967,0.4,2.8,3.5,1.3,3.9,,2.2
1967,-1.7,0,1.1,-1.4,0.6,,-1.9
1967,-1.7,1,1.3,-0.3,1.1,,-0.4
1967,0.1,0.5,0.9,0.8,1.5,,0.5
1967,-2.8,-2.4,-0.5,-2.2,5.4,,-1.2
1967,-0.8,0.6,0.2,-0.5,0.9,,-0.2
